iter	Passed	Remaining
375	4098	1351
376	4109	1340
377	4122	1330
378	4133	1319
379	4144	1308
380	4155	1297
381	4166	1286
382	4176	1275
383	4187	1264
384	4198	1254
385	4208	1242
386	4219	1232
387	4230	1221
388	4240	1210
389	4251	1199
390	4262	1188
391	4272	1177
392	4283	1166
393	4293	1155
394	4304	1144
395	4315	1133
396	4325	1122
397	4335	1111
398	4345	1100
399	4356	1089
400	4367	1078
401	4378	1067
402	4389	1056
403	4401	1045
404	4412	1035
405	4422	1023
406	4433	1013
407	4444	1002
408	4456	991
409	4468	980
410	4478	969
411	4490	959
412	4502	948
413	4513	937
414	4523	926
415	4534	915
416	4546	904
417	4556	893
418	4568	883
419	4580	872
420	4590	861
421	4602	850
422	4613	839
423	4625	829
424	4636	818
425	4647	807
426	4658	796
427	4669	785
428	4680	774
429	4691	763
430	4703	752
431	4714	742
432	4724	731
433	4735	720
434	4746	709
435	4757	698
436	4768	687
437	4779	676
438	4790	665
439	4801	654
440	4812	643
441	4824	633
442	4834	622
443	4845	611
444	4856	600
445	4867	589
446	4878	578
447	4890	567
448	4901	556
449	4912	545
450	4923	534
451	4933	523
452	4945	513
453	4956	502
454	4967	491
455	4979	480
456	4991	469
457	5002	458
458	5013	447
459	5024	436
460	5035	425
461	5047	415
462	5059	404
463	5070	393
464	5081	382
465	5092	371
466	5102	360
467	5114	349
468	5126	338
469	5136	327
470	5146	316
471	5158	305
472	5168	295
473	5179	284
474	5190	273
475	5199	262
476	5210	251
477	5220	240
478	5231	229
479	5241	218
480	5253	207
481	5264	196
482	5275	185
483	5287	174
484	5297	163
485	5308	152
486	5319	142
487	5330	131
488	5341	120
489	5352	109
490	5363	98
491	5374	87
492	5385	76
493	5396	65
494	5407	54
495	5418	43
496	5429	32
497	5440	21
498	5451	10
499	5462	0
